Identifier,Title,Start date,End date,Number of deaths
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2
IBD032051,"Gunmen Attack, Plateau",2025-03-27,2025-03-27,52
IBD032028,"Auto Crash, Kano",2025-03-26,2025-03-26,2
IBD032027,"Lakurawa vs Customs Officers, Kebbi",2025-03-26,2025-03-26,2
IBD032045,"Domestic Violence, Sokoto",2025-03-26,2025-03-26,1
IBD032037,"Domestic Violence, Edo",2025-03-26,2025-03-26,1
IBD032033,"Taskforce Raid, FCT (Abuja)",2025-03-26,2025-03-26,2
IBD032032,"Chieftaincy Tussle, Ondo",2025-03-26,2025-03-26,1
IBD032039,"Domestic Violence, Lagos",2025-03-26,2025-03-26,1
IBD032044,"Domestic Violence, Ekiti",2025-03-25,2025-03-25,2
IBD032030,"Rainstorm, Cross River",2025-03-25,2025-03-25,3
IBD032025,"Auto Crash, Abia",2025-03-25,2025-03-25,2
IBD032034,"Gunmen vs Land Agent, Delta",2025-03-25,2025-03-25,1
IBD032041,"Pipeline Vandal, Rivers",2025-03-25,2025-03-25,1
IBD032020,"Troops vs Armed Robber, Plateau",2025-03-24,2025-03-24,1
IBD032019,"Troops Kill Bandit, Plateau",2025-03-24,2025-03-24,1
IBD032014,"Kidnapper, Anambra",2025-03-24,2025-03-24,1
IBD032026,"Ritual Killing, Rivers",2025-03-24,2025-03-24,2
IBD032017,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,8
IBD032009,"Jailbreak, Kogi",2025-03-24,2025-03-24,1
IBD032055,"Auto Crash, Lagos",2025-03-24,2025-03-24,1
IBD032012,"Gunmen vs Police, Enugu",2025-03-24,2025-03-24,1
IBD032016,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,3
IBD031984,"Extrajudicial Killing, Cross River",2025-03-23,2025-03-23,2
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",2025-03-23,2025-03-23,1
IBD032018,"Hunter Killed, Ogun",2025-03-23,2025-03-23,1
IBD032007,"Gunmen Attack, Plateau",2025-03-23,2025-03-23,3
IBD032008,"Auto Crash, Osun",2025-03-23,2025-03-23,8
IBD032010,"Bandits Kill 2, Kogi",2025-03-23,2025-03-23,2
IBD031983,"Bandits Attack, Sokoto",2025-03-22,2025-03-22,1
IBD031989,"Bandits vs Security Operatives, Zamfara",2025-03-22,2025-03-22,10
IBD031985,"Kidnappers Kill 1, Benue",2025-03-22,2025-03-22,1
IBD032035,"Kidnap Victims, Kaduna",2025-03-22,2025-03-22,3
IBD031987,"Herdsmen Attack, Edo",2025-03-22,2025-03-22,1
IBD031995,"Herders Kill Farmer, FCT (Abuja)",2025-03-22,2025-03-22,1
IBD031990,"Assailants vs Security Man, Bauchi",2025-03-22,2025-03-22,1
IBD032011,"POS Operator, Adamawa",2025-03-22,2025-03-22,1
IBD032021,"Generator Fume Kill 2, Rivers",2025-03-22,2025-03-22,2
IBD031992,"Communal Clash, Osun",2025-03-21,2025-03-21,2
IBD031996,"Hoodlums vs Worshippers, Kaduna",2025-03-21,2025-03-21,1
IBD032040,"Man Dies in Hotel, Delta",2025-03-21,2025-03-21,1
IBD032038,"Domestic Violence, Edo",2025-03-21,2025-03-21,1
IBD032031,Police vs Kidnappers. Delta,2025-03-21,2025-03-21,5
IBD031986,"Gunmen Attack, Anambra",2025-03-20,2025-03-20,3
IBD032004,"Security Force vs Lakurawa, Kebbi",2025-03-20,2025-03-20,2
IBD032047,"Northern Hunters, Edo",2025-03-20,2025-03-20,16
IBD031981,"Miyetti Allah Chairman, Plateau",2025-03-20,2025-03-20,1
IBD032013,"Kidnap Victim, Bauchi",2025-03-20,2025-03-20,1
IBD031980,"Herdsmen Attack, Benue",2025-03-19,2025-03-19,5
IBD031982,"Rape Victim, Delta",2025-03-19,2025-03-19,1
IBD032002,"Inferno, Yobe",2025-03-19,2025-03-19,1
IBD031994,"Banditary, Katsina",2025-03-19,2025-03-19,10
IBD031971,"Domestic Violence, Lagos",2025-03-19,2025-03-19,1
IBD031979,"Assailants vs Security Guard, Ebonyi",2025-03-19,2025-03-19,1
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",2025-03-19,2025-03-19,10
IBD031975,"Herders vs Farmers, Ondo",2025-03-19,2025-03-19,10
IBD031970,"Auto Crash, Rivers",2025-03-18,2025-03-18,1
IBD031993,"NAF vs Boko Haram, Borno",2025-03-18,2025-03-18,25
IBD031978,"Rainstorm Kill 1, Ogun",2025-03-18,2025-03-18,1
IBD031974,"Army vs Terrorist, Zamfara",2025-03-18,2025-03-18,7
IBD031977,Police vs Gunmen Benue,2025-03-18,2025-03-19,12
IBD031969,"Communal Clash, Ebonyi",2025-03-17,2025-03-17,2
